name,age,educational level,number of not paid past credits,dependents,profession,working sector,monthly income,monthly expenditure,savings (debt),debt-to-income ratio before credit,credit: monthly amount,credit-to-income ratio,type of credit,requested_loan_duration,debt-to-income ratio after credit,collateral,collateral type,estimated seizable assets,y-categorical-default,PD_LR,PD_NN,PD_RF,group_key,LGD,EAD,EL_LR,EL_NN,EL_RF,IRB_Capital_LR,IRB_Capital_NN,IRB_Capital_RF
name0,37,bachelor degree,0,0,HighSkilled,Research,5011.0,2895.029080271729,2115.970919728271,0.0,1518.3303972133697,0.2067964018138811,auto loans,36,0.0,15680,liquid assets,33011.27358354746,0,0.11443336775382286,0.16930833,0.11,Research_auto loans,0.7272862073707186,54659.894299681306,4412.625981475453,6758.075827484929,5406.460661987942,15216.776530599629,17227.39487778632,14993.250549874447
name1,55,bachelor degree,2,2,HighSkilled,Engineering,8853.0,9530.09539616858,-677.0953961685791,0.076482028258057,3115.5136306191066,0.6659129992150051,auto loans,24,0.4283981731376579,25983,car,48209.55194873914,0,0.5413727677675622,0.76486754,0.42,Engineering_auto loans,0.7042586231098157,74772.32713485855,28225.25409892574,39862.90550911713,23433.279988846927,19983.165589461376,11397.027172925911,23156.540514668144
name2,36,bachelor degree,0,4,HighSkilled,Finance,5220.0,4336.84862170138,883.1513782986203,0.0,2833.389325783736,0.938651905232782,mortgages,36,0.3736088022002136,51062,house,72052.80380777741,0,0.2583026956234535,0.19510153,0.23,Finance_mortgages,0.65338789348935,102002.0157282145,16994.95495802303,13662.610848606751,16328.486136139776,31035.046782157628,29843.114038149175,30679.07382344411
name3,41,high school or lower,1,1,LowSkilled,Construction,1143.0,1454.5451308360034,-311.5451308360034,0.2725679184916915,282.21583135273494,0.749245091076074,simple loans,24,0.5194759074267178,19048,liquid assets,20083.79099103935,1,0.6731757718214956,0.63218635,0.69,Construction_simple loans,0.0,6773.179952465638,0.0,0.0,0.0,0.0,0.0,0.0
name4,43,high school or lower,0,0,LowSkilled,Manufacturing,1078.0,1037.1144274917224,40.88557250827762,0.0,600.3414653833238,0.3907329029002306,simple loans,24,0.5189757818877979,12435,liquid assets,12988.197387602382,1,0.21932452905303942,0.26449984,0.7,Manufacturing_simple loans,0.18417173882560084,14408.195169199771,618.2846893324836,695.2385777043378,1804.4360032020982,1213.3297846384844,1237.4514484241079,713.9348587084135
name5,41,bachelor degree,2,0,HighSkilled,Engineering,8545.0,3125.015095789048,5419.984904210953,0.0,3547.9057891029297,0.4983511295359717,mortgages,12,0.0,11301,liquid assets,39857.26070343124,0,0.5780662832642567,0.4937614,0.23,Engineering_mortgages,0.7477069534205089,42574.86946923516,17699.44042437342,15980.430023445062,7258.043915030826,11353.06404530188,12930.014146728252,14653.695122748028
name6,49,bachelor degree,1,0,HighSkilled,Engineering,7181.0,7263.95288777167,-82.95288777167025,0.0115517181133087,5123.281180374266,0.5115591530343223,simple loans,12,0.7250012627970946,64153,house,79110.92759264621,1,0.1688035948793615,0.19995248,0.68,Engineering_simple loans,0.275862169387926,61479.37416449119,3222.368370629425,3391.9667059257104,11668.365468384443,7344.011802972738,7631.38816922505,4825.0333167743165
name7,32,bachelor degree,1,0,HighSkilled,Doctor,3060.0,2259.172639202139,800.8273607978608,0.0,830.9142632533235,0.2749327562017725,mortgages,36,0.0098323210638766,23721,car,25095.865336100327,1,0.24715658427229728,0.28315282,0.78,Doctor_mortgages,0.3255400998958323,29912.913477119648,2405.249651854679,2804.5016183568723,7517.622393651062,4518.592705202709,4551.094824499537,1983.1021591980252
name8,49,ausbildung,0,0,MediumSkilled,Nursing,2737.0,2200.6704037488607,536.3295962511393,0.0,938.7506282484017,0.8804435401942575,auto loans,12,0.1470299715006438,22887,car,27519.47919081316,0,0.20039346811191686,0.32884812,0.31,Nursing_auto loans,0.0,11265.007538980819,0.0,0.0,0.0,0.0,0.0,0.0
name9,47,ausbildung,0,0,Unemployed_MediumSkilled,IT Support,1500.0,1264.799299456836,235.200700543164,0.0,879.8125269868152,0.256435421953685,simple loans,48,0.4297412176291008,0,none,3384.2288831624337,0,0.2876193807977072,0.38815948,0.11,IT Support_simple loans,1.0,42231.00129536713,12331.452378247202,17272.479529805158,4180.8691282413465,19738.75288882807,19035.631524016484,15927.698937488294
