name,age,educational level,number of not paid past credits,dependents,profession,working sector,monthly income,monthly expenditure,savings (debt),debt-to-income ratio before credit,credit: monthly amount,credit-to-income ratio,type of credit,requested_loan_duration,debt-to-income ratio after credit,collateral,collateral type,estimated seizable assets,y-categorical-default,PD_LR,PD_NN,PD_RF,group_key,LGD,EAD,EL_LR,EL_NN,EL_RF,IRB_Capital_LR,IRB_Capital_NN,IRB_Capital_RF,Joint_PD_LR,Joint_PD_NN,Joint_PD_RF
name0,32,high school or lower,3,0,LowSkilled,Manufacturing,663.0,921.0640624552872,-258.0640624552872,0.3892368966143094,631.4384735867799,0.879291562246795,simple loans,36,1.3416327843771751,10971,liquid assets,9485.331356807694,1,0.961464011301288,0.9398685,0.74,Manufacturing_simple loans,0.5460767656245622,22731.785049124075,11941.594269551513,11594.021879169557,9098.948648213367,470.2836859995546,728.7343061442623,2942.337336844799,0.962,0.934,0.733
name1,58,bachelor degree,0,0,HighSkilled,Doctor,8916.0,8250.273049106978,665.7269508930221,0.0,4982.239117993083,0.4563652539393281,auto loans,36,0.4841310191902266,25886,car,44903.95449043769,0,0.07120740752665114,0.057894237,0.02,Doctor_auto loans,0.877087622595343,179360.608247751,10854.732893793947,9281.5831990412,2517.0395116043933,49334.31218578471,44655.753658069385,24592.8822898862,0.069,0.059,0.016
name2,30,bachelor degree,0,0,HighSkilled,Finance,2821.0,1965.6144982169676,855.3855017830326,0.0,1479.815447505733,0.8739646774877142,auto loans,48,0.2213505656585254,21656,car,27084.719467733157,0,0.20003508140511134,0.22064939,0.18,Finance_auto loans,0.7412364004959885,71031.14148027518,9635.108777014768,11109.33307076566,9161.250968309121,23693.115790671425,24096.12858190453,23162.845354138564,0.183,0.211,0.174
name3,37,bachelor degree,0,0,HighSkilled,Finance,3875.0,5145.403349575746,-1270.4033495757458,0.3278460256969666,3599.846061692515,0.3198475175732903,mortgages,24,1.256838557746648,23111,car,29519.567682091445,0,0.22127016437696145,0.16122957,0.12,Finance_mortgages,0.772351044761224,86396.30548062036,14546.764342719804,10409.611181028851,7073.197340955501,30551.574821148268,28544.65313472219,25987.733505316563,0.218,0.156,0.106
name4,38,high school or lower,0,1,LowSkilled,Manufacturing,1049.0,942.9671023213637,106.03289767863636,0.0,396.125602924915,0.7721126640795728,mortgages,36,0.2765421403682351,0,none,1663.4462553721903,0,0.4962327521098476,0.55696315,0.22,Manufacturing_mortgages,1.0,14260.521705296938,7358.42919993322,7943.110589850396,3123.0542534600295,5773.791505441616,5276.43097039171,6523.558234275902,0.516,0.557,0.219
name5,60,high school or lower,2,0,LowSkilled,Cleaning Services,1901.0,1409.5634440742974,491.4365559257026,0.0,621.9722742585786,0.8162330663060328,simple loans,36,0.0686668691914129,20610,car,21596.537104207287,1,0.8287116997874299,0.9152493,0.83,Cleaning Services_simple loans,0.21919443682764672,22391.00187330883,4019.638114368276,4525.160368067828,4029.45408045953,791.76198159827,402.95089571202624,786.1529381090843,0.819,0.922,0.821
name6,50,ausbildung,0,0,MediumSkilled,Electrician,3280.0,2391.159642024605,888.8403579753949,0.0,2146.082643867972,0.7745167376981517,auto loans,12,0.3833055749672491,35415,car,46677.82102553877,1,0.2525189613887338,0.2301359,0.73,Electrician_auto loans,0.0,25752.99172641566,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0.229,0.73
name7,56,ausbildung,3,1,Unemployed_MediumSkilled,IT Support,2000.0,2022.730444554063,-22.73044455406307,0.0113652222770315,1681.5996422275582,0.2372368125278001,mortgages,24,0.8521650433908107,16136,liquid assets,22257.88452680854,1,0.8785271103557734,0.8814511,0.8,IT Support_mortgages,0.6203899845381766,40358.391413461395,22158.578515109948,22433.995875184763,19830.049925386535,2912.1380491229065,2844.7163115803055,4669.147986489465,0.885,0.896,0.792
name8,43,bachelor degree,0,0,HighSkilled,Finance,5206.0,4447.954154123478,758.0458458765224,0.0,4176.579634650989,0.6226580956548089,mortgages,60,0.6566526678398898,37231,car,43015.41793326741,0,0.2312674775710689,0.12711836,0.28,Finance_mortgages,0.8736198510824436,250594.77807905932,56263.61518581871,27365.571588433224,59985.332921845635,100847.06725971097,87003.01590261933,102300.61809077975,0.257,0.125,0.274
name9,42,ausbildung,0,1,MediumSkilled,Electrician,1846.0,2329.0213993124667,-483.02139931246666,0.2616583961605995,1483.0205018093372,0.9926903040816112,simple loans,36,1.065028115450598,18548,liquid assets,21287.76543799532,0,0.48661245097076367,0.6068513,0.2,Electrician_simple loans,0.6713588769853682,53388.73806513614,17993.18762200004,22366.034016191286,7311.972659139458,14690.919378300665,12096.375597990283,16128.95797203645,0.502,0.624,0.204
