name,age,educational level,number of not paid past credits,dependents,profession,monthly income,monthly expenditure,savings (debt),debt-to-income ratio before credit,credit: monthly amount,credit-to-income ratio,requested_loan_duration,debt-to-income ratio after credit,collateral,estimated seizable assets,y-categorical-default
name0,37,bachelor degree,1,0,HighSkilled,6554.0,4484.781176159608,2069.2188238403924,0.0,105794.06416739171,0.3518032427625187,60,15.82618940243383,28327,39261.928211553044,0
name1,32,bachelor degree,0,2,HighSkilled,3514.0,2701.5676451379727,812.4323548620273,0.0,77084.57613570544,0.88968272020513,36,21.705220199443204,29467,37922.8955340025,0
name2,32,high school or lower,0,3,LowSkilled,1070.0,1168.0849110498996,-98.08491104989957,0.09166814116813045,5733.612818288521,0.4076611334688769,24,5.450184793774225,0,1759.4590910832849,1
name3,32,high school or lower,0,0,Unemployed_LowSkilled,500.0,380.5741812051779,119.42581879482208,0.0,11152.108165879048,0.3461110106648473,24,22.06536469416845,15052,15981.583396719536,0
name4,30,ausbildung,1,0,MediumSkilled,1625.0,1474.9596435060766,150.04035649392335,0.0,11539.902197164045,0.8318210283599974,60,7.0091457481046895,31392,35802.46510266246,1
name5,46,ausbildung,0,0,MediumSkilled,3120.0,1704.310768661838,1415.689231338162,0.0,46283.609894643,0.7404802761148517,12,14.380743802341295,33343,45928.453952592004,0
name6,40,ausbildung,0,4,MediumSkilled,2606.0,3468.9334383306464,-862.9334383306464,0.3311333224599564,41199.55659266641,0.3425396789474786,48,16.1406331661539,19752,18991.44292266418,1
name7,52,high school or lower,0,0,LowSkilled,2313.0,1033.8554799894757,1279.1445200105243,0.0,12449.252410020921,0.8515910577550633,36,4.829272758327019,19506,24999.846458640244,0
name8,30,ausbildung,0,0,MediumSkilled,1758.0,1551.7631019935354,206.23689800646457,0.0,48993.36844306254,0.7961962778115845,24,27.75149689707399,35074,44275.34294544664,0
name9,42,ausbildung,0,2,MediumSkilled,1725.0,2968.483603991045,-1243.4836039910451,0.7208600602846639,29233.5545513555,0.599572777883559,48,17.667848205998,41954,53985.07340620221,1
name10,49,high school or lower,0,0,LowSkilled,2333.0,2033.1705825371794,299.82941746282063,0.0,27790.048885618355,0.8439294539772875,12,11.78320594434442,0,3954.067019892687,1
name11,32,post graduate degree,1,0,HighSkilled,3053.0,2046.6630370215266,1006.3369629784734,0.0,106266.05583064765,0.9686827024744805,12,34.4774709687747,0,7516.700710263846,0
name12,59,post graduate degree,3,0,Unemployed_HighSkilled,4500.0,3943.8595520062972,556.1404479937028,0.0,45828.23577347282,0.4846340066138116,12,10.060465627884248,41026,57288.33314746325,1
name13,59,ausbildung,1,1,MediumSkilled,3226.0,3555.978577198634,-329.97857719863396,0.10228722169827463,82911.63751584101,0.47661882945933925,24,25.803352787675028,0,6413.542810300701,1
name14,50,bachelor degree,0,0,Unemployed_HighSkilled,3500.0,2768.8455307118384,731.1544692881616,0.0,37787.76767932743,0.6399601048522545,36,10.587603774296936,37972,41495.89141429687,0
name15,45,post graduate degree,1,1,HighSkilled,7582.0,6154.361068032676,1427.6389319673244,0.0,43294.64005745034,0.3131105408313344,60,5.521894107818915,0,18371.450662899417,0
name16,35,post graduate degree,0,2,Unemployed_HighSkilled,1500.0,1884.5393367061083,-384.5393367061083,0.2563595578040722,22748.372362665716,0.8017892478797923,24,15.421941132914549,77788,69413.63738145914,0
name17,53,high school or lower,0,0,Unemployed_LowSkilled,1000.0,784.178981271326,215.82101872867395,0.0,34797.91711475562,0.41043357240908396,60,34.582096096026945,0,1753.1340288997683,0
name18,39,post graduate degree,2,0,HighSkilled,5991.0,4224.419998578974,1766.5800014210263,0.0,136514.6302317136,0.7098404990553859,36,22.49174599070148,10111,28499.843604510985,1
name19,42,post graduate degree,0,3,HighSkilled,6771.0,4362.478629442094,2408.5213705579063,0.0,35457.93822518222,0.8839745164515386,12,4.881024494849256,41436,64093.27544703564,1
name20,41,high school or lower,1,0,LowSkilled,1722.0,1312.9439573885666,409.05604261143344,0.0,12884.36831013794,0.4208707318102918,60,7.244664499144313,0,3108.911895950958,1
name21,34,ausbildung,1,1,MediumSkilled,1893.0,1279.5878727987756,613.4121272012244,0.0,28008.31786434756,0.7557126588753035,12,14.471688186553795,33645,35454.63984359833,0
name22,34,bachelor degree,0,1,HighSkilled,3059.0,2975.5088356542274,83.49116434577263,0.0,19077.627681014008,0.9917416422489694,48,6.209263326795762,38213,48336.20480225795,0
name23,32,bachelor degree,2,1,HighSkilled,3514.0,3489.0426196518097,24.957380348190327,0.0,26959.42767325225,0.4438656722391805,48,7.664903327519652,51022,59239.081443817406,1
name24,50,high school or lower,0,0,LowSkilled,1908.0,1634.5889650238983,273.41103497610175,0.0,64772.04114905438,0.5082311512257867,12,33.80431347698023,14087,19985.971992493363,0
name25,39,ausbildung,0,0,MediumSkilled,1762.0,2655.4357942467946,-893.4357942467946,0.5070577719902353,11191.49197383439,0.37862567072527203,12,6.858642320136881,22140,24799.321413409867,0
name26,48,bachelor degree,1,0,Unemployed_HighSkilled,3500.0,2384.038601998892,1115.9613980011081,0.0,163354.15601194938,0.8678409019773965,48,46.3537698896995,36416,37864.15373662332,1
name27,54,ausbildung,0,1,MediumSkilled,3971.0,5228.4469557133625,-1257.4469557133625,0.3166575058457221,174577.58181490234,0.26668818353759366,48,44.27978563853329,45258,51266.34406437896,1
name28,57,bachelor degree,1,3,HighSkilled,10211.0,12242.570970669023,-2031.5709706690232,0.19895906088228607,174299.28550918758,0.9122149102524819,48,17.268715745750328,52213,79283.55955481627,0
name29,53,ausbildung,0,1,MediumSkilled,3773.0,2968.16042444325,804.8395755567499,0.0,33025.13202164625,0.3932703928964225,48,8.53970115189226,46963,52634.51616371543,0
name30,54,post graduate degree,0,0,HighSkilled,8747.0,5688.97719472127,3058.0228052787297,0.0,65629.57147332624,0.37727507718678194,12,7.153486757522295,22155,46161.383008949044,0
name31,49,high school or lower,0,0,LowSkilled,1552.0,1297.4161098715733,254.58389012842667,0.0,31758.02540744928,0.6800363071375248,12,20.298609225077872,11530,13550.396828067722,0
name32,51,high school or lower,1,2,LowSkilled,1905.0,1721.639748513202,183.360251486798,0.0,95887.4546355544,0.7212710722543272,24,50.238369755416066,0,3451.0493852206214,0
name33,48,bachelor degree,0,1,HighSkilled,4765.0,6776.684861800043,-2011.684861800043,0.4221794043651717,90470.08140938116,0.48181165512047874,12,19.408555355966673,41942,53884.155047429536,0
name34,37,bachelor degree,0,1,HighSkilled,4906.0,8192.849799217869,-3286.849799217869,0.6699653076269607,102257.22650174283,0.6517876098909585,36,21.513264635336466,34171,37581.69637821744,0
name35,37,bachelor degree,0,0,HighSkilled,3127.0,5687.79207228547,-2560.7920722854697,0.8189293483484074,101817.46415640796,0.7692628543786377,60,33.37967899862278,59059,56982.31244492111,1
name36,37,high school or lower,0,0,LowSkilled,1449.0,1009.2368101885962,439.7631898114038,0.0,5313.30003419465,0.3618496967755041,48,3.363379464722737,0,2599.548523281995,0
name37,46,high school or lower,1,3,LowSkilled,1577.0,1605.8430970503036,-28.84309705030364,0.018289852283008015,11780.558985336967,0.4938323861991106,48,7.488523831570875,0,2648.6006749840717,1
name38,45,ausbildung,0,0,MediumSkilled,1940.0,1622.1625044614352,317.8374955385648,0.0,22673.493188638287,0.7835684795736235,60,11.523533862422537,31140,32718.093366451532,0
name39,30,post graduate degree,0,0,HighSkilled,2911.0,3178.270043011448,-267.2700430114478,0.09181382446288142,67967.60885565548,0.7770028146257347,60,23.440356887209525,0,5893.909460941907,1
name40,46,ausbildung,1,0,MediumSkilled,2995.0,2421.1929327753564,573.8070672246436,0.0,63087.017042474195,0.5845921926957945,24,20.87252419874776,39934,45830.08288174738,0
name41,33,ausbildung,0,1,MediumSkilled,1771.0,1321.11204768638,449.88795231361996,0.0,30641.053830423913,0.9222996149355451,60,17.04752449356877,46571,51914.97159910426,0
name42,51,ausbildung,1,0,MediumSkilled,4870.0,5599.391691613974,-729.3916916139742,0.14977242127597007,30315.926921586244,0.8898348776991016,60,6.3748087501437825,0,10551.452841047629,0
