name,age,educational level,number of not paid past credits,dependents,profession,working sector,monthly income,monthly expenditure,savings (debt),debt-to-income ratio before credit,credit: monthly amount,credit-to-income ratio,type of credit,requested_loan_duration,debt-to-income ratio after credit,collateral,collateral type,estimated seizable assets,y-categorical-default
name0,51,bachelor degree,2,1,HighSkilled,Engineering,15710,13852.076802133679,1857.923197866321,0.0,10628.18551428914,0.2255761887147476,auto loans,24,0.5582598546418089,53018,house,87293.80385983469,0
name1,44,bachelor degree,2,0,HighSkilled,Consultant,5828,3589.2623134196488,2238.7376865803512,0.0,4155.7016119814925,0.31464202280886533,auto loans,60,0.32892311691852116,0,none,14679.221438701268,0
name2,49,high school or lower,0,0,LowSkilled,Manufacturing,3509,3051.9879367092954,457.01206329070465,0.0,2187.8265465181616,0.8244329084579641,mortgages,48,0.493250066465505,20855,car,24877.00406285856,0
name3,59,ausbildung,0,0,MediumSkilled,IT Support,9863,5044.597931927659,4818.402068072341,0.0,8495.282643106666,0.579306990789227,mortgages,24,0.3727953538511939,0,none,23251.387503754555,0
name4,43,ausbildung,0,0,MediumSkilled,Electrician,2856,2757.692171786909,98.30782821309094,0.0,997.8931163377943,0.7882191476590722,auto loans,36,0.3149808431809185,35834,car,39930.74351436473,1
name5,59,high school or lower,0,0,LowSkilled,Construction,4953,2594.5812764229936,2358.4187235770064,0.0,2521.8458856591355,0.7634832543723424,auto loans,24,0.03299559097155848,22746,car,33503.4447910426,0
name6,42,bachelor degree,1,1,HighSkilled,Consultant,3907,2718.379203828404,1188.6207961715959,0.0,1752.7106015557747,0.7230396523003374,mortgages,36,0.14437926935863293,73289,house,91155.32734293443,0
name7,39,ausbildung,0,0,MediumSkilled,Nursing,1704,929.1479401398549,774.8520598601451,0.0,1548.3908688558074,0.8358604747472558,auto loans,36,0.4539547001148253,39592,car,51389.26547120211,0
name8,37,ausbildung,0,0,MediumSkilled,IT Support,1400,1036.7366796455708,363.2633203544292,0.0,455.57422310107455,0.5266679179369564,auto loans,60,0.06593635910474668,0,none,3325.640250816262,0
name9,34,high school or lower,1,0,LowSkilled,Construction,1042,833.3053745117043,208.69462548829574,0.0,282.68311830952376,0.5220474762766385,auto loans,36,0.07100623111442228,19486,liquid assets,22068.357074199223,0
name10,52,high school or lower,0,0,LowSkilled,Agriculture,4353,5638.569746559461,-1285.5697465594612,0.2953295994852886,1949.1747762758098,0.6259671928625721,simple loans,24,0.7431069429899543,20006,car,26581.192077593216,1
name11,58,high school or lower,1,1,LowSkilled,Manufacturing,4897,4774.343028284224,122.65697171577631,0.0,1039.4630715981555,0.6674160510973601,simple loans,48,0.18721790889981196,0,none,8478.660746544892,0
name12,47,high school or lower,0,0,LowSkilled,Agriculture,2853,1268.9096781492233,1584.0903218507767,0.0,1027.4423308420676,0.6460826168093496,auto loans,48,0.0,0,none,5688.970734902242,0
